18:46:05.762 [NamespaceSystem-akka.actor.default-dispatcher-5] INFO akka.event.slf4j.Slf4jLogger - Slf4jLogger started
18:46:05.844 [main] INFO com.firebase.server.forge.App$ - Listening at 127.0.0.1:9000
18:46:06.084 [NamespaceSystem-akka.actor.default-dispatcher-5] INFO com.firebase.core.namespace.NamespaceActor - family-hub-rules-default-rtdb successfully activated FBKV (SurveyIdle(0)) wait: 88ms, init: 0ms
18:46:06.227 [NamespaceSystem-blocking-namespace-operation-dispatcher-7] INFO com.firebase.core.namespace.StateManager - Namespace family-hub-rules-default-rtdb status Active to Active
18:46:06.597 [FirebaseWorkerPool-1-3] WARN com.firebase.core.persistence.backend.dummy.EmulatorMetadataPersistence - Multiple projectIds are not recommended in single project mode. Requested 
namespace family-hub-rules, but the emulator is configured for family-hub-rules-default-rtdb. To 
opt-out of single project mode add/set the singleProjectMode: false property in 
the firebase.json emulators config. 
18:46:06.597 [NamespaceSystem-akka.actor.default-dispatcher-6] INFO com.firebase.core.namespace.NamespaceActor - family-hub-rules successfully activated FBKV (SurveyIdle(0)) wait: 0ms, init: 0ms
18:46:06.627 [NamespaceSystem-blocking-namespace-operation-dispatcher-7] INFO com.firebase.core.namespace.StateManager - Namespace family-hub-rules status Active to Active
18:46:06.907 [FirebaseWorkerPool-1-1] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:07.003 [FirebaseWorkerPool-1-2] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:07.049 [FirebaseWorkerPool-1-3] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:07.097 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...lfQ., assuming ownership.
18:46:07.175 [FirebaseWorkerPool-1-2] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:07.301 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:07.331 [FirebaseWorkerPool-1-1] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:07.562 [NamespaceSystem-blocking-namespace-operation-dispatcher-7] INFO com.firebase.core.namespace.StateManager - Namespace family-hub-rules status Active to Active
18:46:07.646 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:07.771 [FirebaseWorkerPool-1-3] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:07.818 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:07.911 [FirebaseWorkerPool-1-2] WARN com.firebase.server.forge.App$ - Received service account token eyJh...lfQ., assuming ownership.
18:46:07.958 [FirebaseWorkerPool-1-3] WARN com.firebase.server.forge.App$ - Received service account token eyJh...lfQ., assuming ownership.
18:46:08.004 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:08.096 [FirebaseWorkerPool-1-2] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:08.190 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:08.268 [FirebaseWorkerPool-1-2] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:08.362 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:08.601 [NamespaceSystem-blocking-namespace-operation-dispatcher-11] INFO com.firebase.core.namespace.StateManager - Namespace family-hub-rules status Active to Active
18:46:08.692 [FirebaseWorkerPool-1-3] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:08.739 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:08.786 [FirebaseWorkerPool-1-1] WARN com.firebase.server.forge.App$ - Received service account token eyJh...lfQ., assuming ownership.
18:46:08.831 [FirebaseWorkerPool-1-2] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:08.923 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:09.016 [FirebaseWorkerPool-1-2] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:09.125 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:09.204 [FirebaseWorkerPool-1-2] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:09.362 [FirebaseWorkerPool-1-1] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:09.454 [FirebaseWorkerPool-1-3] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:09.532 [FirebaseWorkerPool-1-1] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:09.626 [FirebaseWorkerPool-1-3] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:09.767 [FirebaseWorkerPool-1-2] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:09.860 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:10.103 [NamespaceSystem-blocking-namespace-operation-dispatcher-11] INFO com.firebase.core.namespace.StateManager - Namespace family-hub-rules status Active to Active
18:46:10.188 [FirebaseWorkerPool-1-3] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:10.234 [FirebaseWorkerPool-1-4] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
18:46:10.282 [FirebaseWorkerPool-1-1] WARN com.firebase.server.forge.App$ - Received service account token eyJh...WV9., assuming ownership.
